FT       ID       AT       WT       TT
4:30      3        4:7      0:8     0:15
4:45      4        4:9      0:6     0:30
6:0      30        5:28      0:2     0:30
6:0      12        4:32      1:13     0:15
6:15      2        4:6      1:39     0:30
6:15      31        5:29      0:31     0:15
6:30      16        4:44      0:16     1:30
6:45      9        4:20      0:10     2:15
6:45      15        4:44      0:1     2:0
6:45      35        5:41      0:4     1:0
7:15      14        4:40      2:20     0:15
7:30      13        4:40      2:35     0:15
7:30      24        5:10      2:5     0:15
7:30      67        7:15      0:0     0:15
7:30      60        6:54      0:6     0:30
7:45      1        4:4      2:41     1:0
7:45      40        5:49      1:41     0:15
7:45      22        5:1      2:14     0:30
8:0      21        4:56      2:19     0:45
8:0      54        6:31      0:44     0:45
8:0      32        5:33      2:12     0:15
8:0      23        5:6      1:39     1:15
8:0      61        6:57      0:3     1:0
8:0      71        7:20      0:10     0:30
8:15      33        5:38      1:37     1:0
8:15      62        7:0      0:30     0:45
8:15      66        7:12      0:33     0:30
8:15      17        4:48      3:12     0:15
8:15      39        5:47      2:13     0:15
8:30      29        5:24      1:51     1:15
8:30      63        7:1      0:44     0:45
8:30      45        6:8      1:22     1:0
8:30      43        6:1      2:14     0:15
8:30      86        8:6      0:9     0:15
8:30      74        7:30      0:15     0:45
8:30      26        5:13      1:32     1:45
8:30      44        6:5      1:25     1:0
8:30      18        4:48      3:27     0:15
8:30      51        6:26      1:49     0:15
8:30      79        7:40      0:5     0:45
8:30      69        7:17      0:13     1:0
8:45      48        6:21      0:24     2:0
8:45      80        7:45      0:30     0:30
8:45      19        4:56      2:19     1:30
8:45      76        7:34      0:41     0:30
8:45      38        5:45      1:0     2:0
8:45      7        4:16      2:59     1:30
8:45      78        7:36      0:24     0:45
8:45      5        4:11      4:4     0:30
8:45      25        5:12      2:3     1:30
8:45      20        4:56      3:19     0:30
8:45      27        5:14      1:46     1:45
9:0      34        5:40      1:35     1:45
9:0      59        6:54      1:21     0:45
9:0      55        6:35      1:40     0:45
9:0      10        4:25      3:5     1:30
9:0      8        4:19      4:11     0:30
9:0      82        7:52      0:53     0:15
9:30      106        8:50      0:10     0:30
9:30      58        6:49      2:26     0:15
9:45      70        7:19      2:11     0:15
9:45      96        8:25      1:5     0:15
10:0      128        9:39      0:6     0:15
10:0      121        9:19      0:11     0:30
10:0      28        5:19      4:11     0:30
10:0      107        8:51      0:39     0:30
10:0      47        6:18      3:12     0:30
10:15      85        8:2      1:28     0:45
10:15      103        8:47      0:28     1:0
10:15      87        8:8      1:22     0:45
10:30      100        8:38      0:52     1:0
10:30      116        9:9      0:51     0:30
10:30      88        8:10      2:5     0:15
10:30      105        8:49      1:26     0:15
10:45      50        6:22      3:8     1:15
10:45      36        5:43      3:47     1:15
10:45      57        6:44      3:1     1:0
11:0      41        5:54      3:21     1:45
11:0      46        6:13      3:47     1:0
11:0      119        9:15      0:0     1:45
11:0      132        9:46      0:14     1:0
11:0      104        8:47      0:28     1:45
11:0      64        7:5      2:10     1:45
11:0      92        8:14      1:1     1:45
11:15      123        9:25      0:5     1:45
11:15      42        5:58      3:47     1:30
11:15      101        8:43      1:17     1:15
11:15      37        5:43      3:32     2:0
11:15      102        8:44      1:16     1:15
11:15      53        6:28      4:2     0:45
11:15      73        7:29      3:1     0:45
11:15      113        8:58      1:32     0:45
11:15      65        7:10      3:35     0:30
11:15      117        9:12      1:48     0:15
11:15      68        7:15      3:0     1:0
11:30      77        7:36      2:54     1:0
11:30      72        7:25      2:5     2:0
11:30      84        8:0      1:30     2:0
11:30      52        6:28      3:32     1:30
11:30      75        7:32      1:43     2:15
11:30      118        9:12      1:3     1:15
11:30      49        6:21      3:39     1:30
11:30      98        8:29      2:31     0:30
12:30      81        7:47      3:58     0:45
12:30      90        8:12      3:48     0:30
12:30      124        9:28      2:47     0:15
12:45      91        8:14      3:31     1:0
12:45      83        7:57      4:3     0:45
12:45      94        8:18      3:27     1:0
12:45      89        8:12      4:18     0:15
12:45      110        8:55      3:35     0:15
12:45      115        9:5      2:55     0:45
12:45      97        8:27      3:33     0:45
13:0      125        9:33      2:42     0:45
13:0      120        9:16      3:29     0:15
13:0      127        9:38      3:7     0:15
13:0      130        9:41      2:4     1:15
13:0      95        8:20      4:10     0:30
13:15      108        8:51      3:9     1:15
13:15      131        9:45      2:15     1:15
13:30      126        9:35      2:40     1:15
13:30      109        8:52      3:38     1:0
13:30      99        8:33      3:42     1:15
13:30      112        8:56      2:49     1:45
13:30      111        8:55      3:20     1:15
13:30      114        9:1      4:14     0:15
13:45      93        8:14      4:16     1:15
13:45      129        9:41      2:4     2:0
13:45      122        9:23      4:7     0:15
Passengers: 129
Buses: 10 [WBus :4, MBus :6]
